TXNAME	GENEID.group	GENEID.group_name	GENEID.value
mRNA:Solyc06g043032.1.1	18488	NA	gene:Solyc06g043032.1
mRNA:Solyc06g043020.1.1	18489	NA	gene:Solyc06g043020.1
mRNA:Solyc06g043036.1.1	18490	NA	gene:Solyc06g043036.1
mRNA:Solyc06g043038.1.1	18491	NA	gene:Solyc06g043038.1
mRNA:Solyc06g043010.1.1	18492	NA	gene:Solyc06g043010.1
mRNA:Solyc06g043000.2.1	18493	NA	gene:Solyc06g043000.2
mRNA:Solyc06g042990.1.1	18494	NA	gene:Solyc06g042990.1
mRNA:Solyc06g042980.3.1	18495	NA	gene:Solyc06g042980.3
mRNA:Solyc06g042960.2.1	18496	NA	gene:Solyc06g042960.2
mRNA:Solyc06g042950.3.1	18497	NA	gene:Solyc06g042950.3
mRNA:Solyc06g042951.1.1	18498	NA	gene:Solyc06g042951.1
mRNA:Solyc06g042952.1.1	18499	NA	gene:Solyc06g042952.1
mRNA:Solyc06g042954.1.1	18500	NA	gene:Solyc06g042954.1
